[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,48,0]
[1][1,(0, 1),0,E,1,47,1]
[4][3,(1, 1),1,S,2,46,3]
[11][4,(1, 2),4,E,3,45,4]
[15][5,(1, 3),11,E,4,44,5]
[22][6,(2, 3),15,S,5,43,6]
[37][7,(3, 3),22,S,6,42,7]
[53][8,(3, 4),37,E,7,41,8]
[71][9,(4, 4),53,S,8,40,9]
[80][10,(5, 4),71,S,9,39,10]
[103][11,(6, 4),80,S,10,38,11]
[126][12,(7, 4),103,S,11,37,12]
[145][13,(7, 5),126,E,12,36,13]
[157][14,(7, 6),145,E,13,35,14]
[171][16,(8, 6),157,S,14,34,16]
[209][17,(8, 7),171,E,15,33,17]
[221][18,(8, 8),209,E,16,32,18]
[235][19,(8, 9),221,E,17,31,19]
[251][20,(9, 9),235,S,18,30,20]
[283][22,(10, 9),251,S,19,29,22]
[337][23,(11, 9),283,S,20,28,23]
[372][24,(11, 10),337,E,21,27,24]
[401][26,(11, 11),372,E,22,26,26]
[458][27,(11, 12),401,E,23,25,27]
[505][31,(11, 13),458,E,24,24,31]
[643][32,(11, 14),505,E,25,23,32]
[691][33,(11, 15),643,E,26,22,33]
[745][34,(12, 15),691,S,27,21,34]
[782][35,(13, 15),745,S,28,20,35]
[827][36,(14, 15),782,S,29,19,36]
[881][37,(15, 15),827,S,30,18,37]
[942][38,(16, 15),881,S,31,17,38]
[984][39,(17, 15),942,S,32,16,39]
[1042][40,(17, 16),984,E,33,15,40]
[1119][41,(17, 17),1042,E,34,14,41]
[1178][42,(18, 17),1119,S,35,13,42]
[1243][43,(19, 17),1178,S,36,12,43]
[1328][44,(20, 17),1243,S,37,11,44]
[1401][45,(21, 17),1328,S,38,10,45]
[1459][46,(21, 18),1401,E,39,9,46]
[1529][47,(21, 19),1459,E,40,8,47]
[1617][48,(21, 20),1529,E,41,7,48]
[1681][52,(21, 21),1617,E,42,6,52]
[1836][53,(21, 22),1681,E,43,5,53]
[1880][54,(22, 22),1836,S,44,4,54]
[1901][55,(22, 23),1880,E,45,3,55]
[1914][56,(22, 24),1901,E,46,2,56]
[1931][57,(23, 24),1914,S,47,1,57]
[1946][61,(24, 24),1931,S,48,0,61]
