[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,73,73]
[2][3,(1, 0),0,S,1,72,75]
[17][4,(2, 0),2,S,2,71,75]
[25][5,(3, 0),17,S,3,70,75]
[27][7,(3, 1),25,E,4,69,76]
[33][8,(3, 2),27,E,5,68,76]
[37][9,(4, 2),33,S,6,67,76]
[43][10,(4, 3),37,E,7,66,76]
[47][11,(4, 4),43,E,8,65,76]
[50][12,(4, 5),47,E,9,64,76]
[54][13,(4, 6),50,E,10,63,76]
[57][14,(4, 7),54,E,11,62,76]
[62][15,(5, 7),57,S,12,61,76]
[81][16,(6, 7),62,S,13,60,76]
[91][17,(7, 7),81,S,14,59,76]
[94][18,(7, 8),91,E,15,58,76]
[98][19,(7, 9),94,E,16,57,76]
[101][20,(7, 10),98,E,17,56,76]
[105][21,(7, 11),101,E,18,55,76]
[109][22,(7, 12),105,E,19,54,76]
[113][23,(7, 13),109,E,20,53,76]
[117][24,(7, 14),113,E,21,52,76]
[119][25,(6, 14),117,N,22,53,78]
[295][26,(6, 15),119,E,23,52,78]
[299][28,(6, 16),295,E,24,51,79]
[468][29,(6, 17),299,E,25,50,79]
[472][31,(6, 18),468,E,26,49,80]
[587][32,(6, 19),472,E,27,48,80]
[591][33,(6, 20),587,E,28,47,80]
[596][34,(7, 20),591,S,29,46,80]
[605][36,(7, 21),596,E,30,45,81]
[772][37,(7, 22),605,E,31,44,81]
[776][38,(7, 23),772,E,32,43,81]
[781][41,(8, 23),776,S,33,42,83]
[1087][42,(8, 24),781,E,34,41,83]
[1089][45,(8, 25),1087,E,35,40,85]
[1361][46,(8, 26),1089,E,36,39,85]
[1366][47,(9, 26),1361,S,37,38,85]
[1369][48,(9, 27),1366,E,38,37,85]
[1373][49,(9, 28),1369,E,39,36,85]
[1377][50,(9, 29),1373,E,40,35,85]
[1381][51,(9, 30),1377,E,41,34,85]
[1385][52,(10, 30),1381,S,42,33,85]
[1398][53,(10, 31),1385,E,43,32,85]
[1402][55,(11, 31),1398,S,44,31,86]
[1631][56,(12, 31),1402,S,45,30,86]
[1647][57,(13, 31),1631,S,46,29,86]
[1654][58,(13, 32),1647,E,47,28,86]
[1657][59,(13, 33),1654,E,48,27,86]
[1660][60,(13, 34),1657,E,49,26,86]
[1663][61,(14, 34),1660,S,50,25,86]
[1676][62,(14, 35),1663,E,51,24,86]
[1679][63,(14, 36),1676,E,52,23,86]
[1683][66,(14, 37),1679,E,53,22,88]
[2092][67,(14, 38),1683,E,54,21,88]
[2094][68,(14, 39),2092,E,55,20,88]
[2099][69,(15, 39),2094,S,56,19,88]
[2106][70,(15, 40),2099,E,57,18,88]
[2110][71,(15, 41),2106,E,58,17,88]
[2114][72,(16, 41),2110,S,59,16,88]
[2118][73,(17, 41),2114,S,60,15,88]
[2127][75,(17, 42),2118,E,61,14,89]
[2307][76,(17, 43),2127,E,62,13,89]
[2311][78,(17, 44),2307,E,63,12,90]
[2466][79,(17, 45),2311,E,64,11,90]
[2471][80,(18, 45),2466,S,65,10,90]
[2497][81,(19, 45),2471,S,66,9,90]
[2525][82,(19, 46),2497,E,67,8,90]
[2530][83,(20, 46),2525,S,68,7,90]
[2561][84,(20, 47),2530,E,69,6,90]
[2566][85,(21, 47),2561,S,70,5,90]
[2594][86,(22, 47),2566,S,71,4,90]
[2614][87,(23, 47),2594,S,72,3,90]
[2621][88,(24, 47),2614,S,73,2,90]
[2630][89,(24, 48),2621,E,74,1,90]
[2632][93,(24, 49),2630,E,75,0,93]
